subject,module,commit,generated_test,focal_method,nd_pass,nd_total,nd_verdict,id_runs,id_verdict,od_verdict,notes
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_post_18_0_Test#testPostWithoutEncoding,com.github.kevinsawicki.http.HttpRequest#post,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_put_19_0_Test#testConstructorWithCharSequence,com.github.kevinsawicki.http.HttpRequest#put,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_put_19_0_Test#testConstructorWithURL,com.github.kevinsawicki.http.HttpRequest#put,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_put_19_0_Test#testPutWithInvalidURL,com.github.kevinsawicki.http.HttpRequest#put,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_put_19_0_Test#testPutWithValidURL,com.github.kevinsawicki.http.HttpRequest#put,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_receive_75_0_Test#testReceiveFileNotFound,com.github.kevinsawicki.http.HttpRequest#receive,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_receive_75_0_Test#testReceiveFileSuccess,com.github.kevinsawicki.http.HttpRequest#receive,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_receive_76_0_Test#testCopyMethod,com.github.kevinsawicki.http.HttpRequest#receive,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_receive_76_0_Test#testReceiveSuccess,com.github.kevinsawicki.http.HttpRequest#receive,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_receive_76_0_Test#testReceiveThrowsHttpRequestException,com.github.kevinsawicki.http.HttpRequest#receive,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_send_147_0_Test#testSendFileNotFound,com.github.kevinsawicki.http.HttpRequest#send,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_send_147_0_Test#testSendFileSuccess,com.github.kevinsawicki.http.HttpRequest#send,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_setConnectionFactory_6_0_Test#testSetConnectionFactory,com.github.kevinsawicki.http.HttpRequest#setConnectionFactory,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_trace_33_0_Test#testTraceMethodWithMalformedUrl,com.github.kevinsawicki.http.HttpRequest#trace,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_trace_33_0_Test#testTraceMethodWithValidUrl,com.github.kevinsawicki.http.HttpRequest#trace,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
http-request,lib,2d62a3e9da726942a93cf16b6e91c0187e6c0136,com.github.kevinsawicki.http.HttpRequest_trace_34_0_Test#testTraceMethod,com.github.kevinsawicki.http.HttpRequest#trace,20,20,NOT_FLAKY,15,NOT_FLAKY_ID,NOT_OD,OD checked at class level over 77-test full suite (victim+polluter)
