test_id,pass,fail,missing,total,verdict
tests/test_pregel_async.py::test_doubly_nested_graph_interrupts[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_doubly_nested_graph_interrupts[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_doubly_nested_graph_interrupts[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_doubly_nested_graph_interrupts[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_draw_invalid,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_dynamic_interrupt[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_dynamic_interrupt[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_dynamic_interrupt_subgraph[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_dynamic_interrupt_subgraph[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_entrypoint_from_async_generator,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_entrypoint_stateful[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_entrypoint_stateful[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_entrypoint_stateful_update_state[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_entrypoint_stateful_update_state[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_entrypoint_without_checkpointer,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_falsy_return_from_task[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_falsy_return_from_task[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_fork_and_update_task_results[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_fork_and_update_task_results[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_fork_does_not_apply_pending_writes[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_fork_does_not_apply_pending_writes[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_graph_error_handler_async_runtime_info,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_graph_error_handler_does_not_swallow_interrupt_concurrent,50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_handles_multiple_interrupts_from_tasks[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_handles_multiple_interrupts_from_tasks[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_exception[memory],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_exception[sqlite_aio],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_nested[memory-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_nested[memory-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_nested[memory-sync],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_nested[sqlite_aio-async],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_nested[sqlite_aio-exit],50,0,0,50,NOT_FLAKY
tests/test_pregel_async.py::test_imp_nested[sqlite_aio-sync],50,0,0,50,NOT_FLAKY
